company,cc,vertical,index,raw_sector,market_cap_usd,revenue_usd,employees,ticker
Legrand,FR,,CAC40,Industrials,38685600000,10519200000,35967,LR.PA
LVMH,FR,,CAC40,Consumer Cyclical,254113200000,87274800000,196647,MC.PA
Michelin,FR,,CAC40,Industrials,25801200000,28069200000,117495,ML.PA
Orange,FR,,CAC40,Telecom,47174400000,43632000000,121242,ORA.PA
Pernod Ricard,FR,,CAC40,Consumer Defensive,17161200000,10843200000,17238,RI.PA
Publicis,FR,,CAC40,Media,23360400000,19062000000,114079,PUB.PA
Renault,FR,,CAC40,Consumer Cyclical,7743600000,62553600000,100541,RNO.PA
Safran,FR,,CAC40,Industrials,146512800000,33685200000,103710,SAF.PA
Saint-Gobain,FR,,CAC40,Industrials,39268800000,50198400000,161688,SGO.PA
Sanofi,FR,,CAC40,Healthcare,99759600000,51138000000,74846,SAN.PA
Schneider Electric,FR,,CAC40,Industrials,163242000000,43362000000,159844,SU.PA
Société Générale,FR,,CAC40,Financial Services,61549200000,27853200000,110000,GLE.PA
Stellantis,FR,,CAC40,Consumer Cyclical,15714000000,168296400000,258668,STLAP.PA
STMicroelectronics,FR,,CAC40,Technology,56138400000,11490000000,48000,STMPA.PA
Teleperformance,FR,,CAC40,Customer Service BPO,3402000000,11026800000,446716,TEP.PA
Thales,FR,,CAC40,Industrials,50328000000,24645600000,84958,HO.PA
TotalEnergies,FR,,CAC40,Energy,178329600000,159550000000,94847,TTE.PA
Unibail-Rodamco-Westfield,FR,,CAC40,Real Estate,16297200000,3834000000,1992,URW.PA
Veolia,FR,,CAC40,Utilities,29462400000,47952000000,203100,VIE.PA
Vinci,FR,,CAC40,Industrials,68040000000,81756000000,292101,DG.PA
ADP,FR,,SBF120,Airport Operators / Transport Infrastructure,11318400000,7236000000,26055,ADP.PA
Air France-KLM,FR,,SBF120,Airlines,3294000000,35985600000,79755,AF.PA
Airbus Group,FR,,SBF120,Aerospace & Defense,177098400000,78332400000,166876,AIR.PA
Alstom,FR,,SBF120,Rail Transport Equipment,8056800000,20703600000,87832,ALO.PA
Alten,FR,,SBF120,IT / Engineering Consulting,2116800000,4428000000,57038,ATE.PA
Amundi,FR,,SBF120,Asset Management,19288800000,7430400000,5400,AMUN.PA
Aperam,FR,,SBF120,Stainless Steel / Metals,3704400000,6480000000,13000,APAM.AS
Arcelor Mittal,FR,,SBF120,Steel / Metals,47876400000,53780000000,125554,MT.AS
Argan,FR,,SBF120,Real Estate (Logistics REIT),1792800000,278931600,28,ARG.PA
Arkema,FR,,SBF120,Specialty Chemicals,4492800000,9579600000,20700,AKE.PA
Atos,FR,,SBF120,IT Services,601290000,8640000000,57624,ATO.PA
Ayvens,FR,,SBF120,Vehicle Leasing / Financial Services,10152000000,27043200000,13000,AYV.PA
Bénéteau,FR,,SBF120,Recreational Boats / Consumer Goods,527850000,916509600,6218,BEN.PA
Bic,FR,,SBF120,Consumer Goods,2624400000,2257200000,9224,BB.PA
Biomérieux,FR,,SBF120,Medical Diagnostics / Healthcare,8899200000,4395600000,15226,BIM.PA
Bolloré,FR,,SBF120,Transport & Logistics / Holding,11912400000,3164400000,2940,BOL.PA
Carmila,FR,,SBF120,Real Estate (Retail REIT),2484000000,611733600,259,CARM.PA
Clariane,FR,,SBF120,Healthcare / Elderly Care,1544400000,5734800000,70685,CLARI.PA
Coface,FR,,SBF120,Credit Insurance,2613600000,1965600000,5511,COFA.PA
Covivio,FR,,SBF120,Real Estate (REIT),6318000000,1263600000,968,COV.PA
Dassault Aviation,FR,,SBF120,Aerospace & Defense,25347600000,9601200000,14573,AM.PA
Derichebourg,FR,,SBF120,Recycling / Environmental Services,1620000000,3747600000,5394,DBG.PA
Eiffage,FR,,SBF120,Construction & Concessions,12603600000,28209600000,87000,FGR.PA
Elior,FR,,SBF120,Catering / Food Services,565110000,6609600000,132883,ELIOR.PA
Elis,FR,,SBF120,Textile & Facility Services,5940000000,5184000000,58445,ELIS.PA
Emeis,FR,,SBF120,Healthcare / Elderly Care,2430000000,6372000000,84586,EMEIS.PA
Eramet,FR,,SBF120,Mining / Metals,1317600000,3013200000,8684,ERA.PA
Esso,FR,,SBF120,Oil & Gas Refining,987076800,12279600000,1056,ES.PA
Eurazeo,FR,,SBF120,Private Equity / Investment,3034800000,46126800,578,RF.PA
Euronext,FR,,SBF120,Financial Exchanges,16178400000,2041200000,3105,ENX.PA
FDJ,FR,,SBF120,Gaming / Lottery,4546800000,3974400000,5755,FDJU.PA
Forvia,FR,,SBF120,Automotive Parts,1825200000,23058000000,106513,FRVIA.PA
Gecina,FR,,SBF120,Real Estate (Office REIT),6026400000,930312000,442,GFC.PA
Getlink,FR,,SBF120,Transport Infrastructure (Channel Tunnel),10918800000,1868400000,3825,GET.PA
GTT,FR,,SBF120,Engineering (LNG Containment),7819200000,867348000,732,GTT.PA
Icade,FR,,SBF120,Real Estate (REIT),1555200000,1414800000,1007,ICAD.PA
ID Logistics Group,FR,,SBF120,Logistics / Supply Chain,2484000000,4039200000,34760,IDL.PA
Imerys,FR,,SBF120,Industrial Minerals,2030400000,3618000000,12300,NK.PA
Interparfums,FR,,SBF120,Perfumes / Cosmetics,2473200000,971330400,359,ITP.PA
Ipsen,FR,,SBF120,Pharmaceuticals,14374800000,4244400000,5535,IPN.PA
Ipsos,FR,,SBF120,Market Research,1684800000,2743200000,20921,IPS.PA
JCDecaux,FR,,SBF120,Outdoor Advertising / Media,5086800000,3963600000,11320,DEC.PA
Klepierre,FR,,SBF120,Real Estate (Retail REIT),11782800000,1879200000,1034,LI.PA
L’Oréal,FR,,SBF120,Cosmetics / Personal Care,219434400000,47574000000,79033,OR.PA
Maurel & Prom,FR,,SBF120,Oil & Gas Exploration,1825200000,491880000,810,MAU.PA
MedinCell,FR,,SBF120,Pharmaceuticals / Biotech,984916800,26222400,140,MEDCL.PA
Mercialys,FR,,SBF120,Real Estate (Retail REIT),1177200000,195037200,181,MERY.PA
Mersen,FR,,SBF120,Electrical Components / Materials,947116800,1285200000,7259,MRN.PA
M6 Metropole Television,FR,,SBF120,Media / Broadcasting,1620000000,1360800000,2001,MMT.PA
Neoen,FR,,SBF120,Renewable Energy,,606960000,300,
Nexans,FR,,SBF120,Cables / Electrical Equipment,6339600000,8434800000,25700,NEX.PA
Nexity,FR,,SBF120,Real Estate Development,445078800,3045600000,3006,NXI.PA
OPmobility,FR,,SBF120,Automotive Parts,2019600000,10897200000,28258,OPM.PA
Planisware,FR,,SBF120,Software,1512000000,213861600,708,PLNW.PA
Pluxee,FR,,SBF120,Employee Benefits / Payments,2041200000,1414800000,5626,PLX.PA
Publicis Groupe,FR,,SBF120,Advertising / Communications,23360400000,19062000000,114079,PUB.PA
Remy Cointreau,FR,,SBF120,Spirits / Beverages,2548800000,1010124000,1754,RCO.PA
Rexel,FR,,SBF120,Electrical Distribution,12139200000,20962800000,26706,RXL.PA
Robertet,FR,,SBF120,Flavors & Fragrances,1911600000,911466000,2570,RBT.PA
Rubis,FR,,SBF120,Energy Distribution / Storage,3650400000,7052400000,4257,RUI.PA
SEB,FR,,SBF120,Household Appliances,2894400000,8823600000,31856,SK.PA
Sartorius Stedim Biotech,FR,,SBF120,Life Sciences / Bioprocessing,18424800000,3218400000,10456,DIM.PA
Scor SE,FR,,SBF120,Reinsurance,6382800000,16718400000,3610,SCR.PA
SES,FR,,SBF120,Satellite Communications,3337200000,3207600000,3830,SESG.PA
Sodexo,FR,,SBF120,Food Services / Facilities Management,8650800000,25509600000,426464,SW.PA
Soitec,FR,,SBF120,Semiconductors,3704400000,639705600,1961,SOI.PA
Solvay,FR,,SBF120,Chemicals,2948400000,5022000000,8400,SOLB.BR
Sopra Steria,FR,,SBF120,IT Services / Consulting,2980800000,6102000000,51275,SOP.PA
Spie,FR,,SBF120,Engineering / Technical Services,8931600000,11329200000,54673,SPIE.PA
ST Microelectronics,FR,,SBF120,Semiconductors,56138400000,11490000000,48000,STMPA.PA
Technip Energies,FR,,SBF120,Energy Engineering / Oil Services,6469200000,7743600000,18000,TE.PA
TF1,FR,,SBF120,Media / Broadcasting,1544400000,2430000000,3036,TFI.PA
Trigano,FR,,SBF120,Recreational Vehicles / Consumer Goods,3142800000,4060800000,10139,TRI.PA
Ubisoft,FR,,SBF120,Video Games / Software,800388000,1512000000,16590,UBI.PA
Valeo,FR,,SBF120,Automotive Parts,3466800000,22269600000,88003,FR.PA
Vallourec,FR,,SBF120,Steel Tubes / Oil Services,5346000000,4050000000,13000,VK.PA
Valneva SE,FR,,SBF120,Biotech / Vaccines,438717600,168836400,674,VLA.PA
Veolia Environnement,FR,,SBF120,Utilities / Environmental Services,29462400000,47952000000,203100,VIE.PA
Verallia,FR,,SBF120,Glass Packaging,2462400000,3596400000,11000,VRLA.PA
Vicat,FR,,SBF120,Building Materials / Cement,2970000000,4158000000,10194,VCT.PA
Virbac,FR,,SBF120,Animal Health / Pharmaceuticals,3164400000,1576800000,6442,VIRP.PA
Viridien,FR,,SBF120,Geoscience / Energy Services,652579200,878920000,3100,VIRI.PA
Vivendi,FR,,SBF120,Media / Entertainment,2030400000,331560000,2500,VIV.PA
Vusion,FR,,SBF120,Digital Retail Technology,2278800000,1587600000,1089,VU.PA
Wendel,FR,,SBF120,Investment / Private Equity,3704400000,8402400000,88439,MF.PA
Worldline,FR,,SBF120,Payments / Fintech,614001600,4352400000,17948,WLN.PA
HSBC Holdings,HK,,HSI,Banks,355128205128,64101282051,208844,0005
Hong Kong Exchanges and Clearing,HK,,HSI,Financials,64920512821,3871794872,2497,0388
China Construction Bank,HK,,HSI,Banks,301282051282,89544871795,378344,0939
AIA Group,HK,,HSI,Insurance,101746153846,26158974359,23000,1299
Industrial and Commercial Bank of China,HK,,HSI,Banks,387179487179,98130769231,409758,1398
Ping An Insurance,HK,,HSI,Insurance,141025641026,138461538462,258806,2318
BOC Hong Kong,HK,,HSI,Banks,65551282051,8811538462,15585,2388
China Life Insurance,HK,,HSI,Insurance,156410256410,49851282051,97505,2628
China Merchants Bank,HK,,HSI,Banks,146153846154,43544871795,121585,3968
Bank of China,HK,,HSI,Banks,265384615385,82623076923,313746,3988
CLP Holdings,HK,,HSI,Utilities,25102564103,11284615385,8539,0002
Hong Kong and China Gas,HK,,HSI,Utilities,16578205128,6965384615,54968,0003
Power Assets Holdings,HK,,HSI,Utilities,16079487179,98846154,16,0006
China Resources Power,HK,,HSI,Utilities,12816666667,13078205128,21858,0836
Cheung Kong Infrastructure Holdings,HK,,HSI,Utilities,20043589744,612820513,2253,1038
ENN Energy,HK,,HSI,Utilities,6150000000,15965384615,33742,2688
Henderson Land Development,HK,,HSI,Real Estate,17205128205,3300000000,10078,0012
Sun Hung Kai Properties,HK,,HSI,Real Estate,45514102564,11857692308,38000,0016
Hang Lung Properties,HK,,HSI,Real Estate,5029487179,1275641026,4526,0101
China Overseas Land & Investment,HK,,HSI,Real Estate,19026923077,23980769231,3130,0688
Link REIT,HK,,HSI,Real Estate,13193589744,1811538462,1441,0823
Longfor Properties,HK,,HSI,Real Estate,6178205128,13883333333,31653,0960
China Resources Land,HK,,HSI,Real Estate,31083333333,40152564103,59077,1109
CK Asset Holdings,HK,,HSI,Real Estate,21680769231,7428205128,54000,1113
China Resources Mixc Lifestyle,HK,,HSI,Real Estate,11483333333,2570512821,37704,1209
Wharf Real Estate Investment,HK,,HSI,Real Estate,9933333333,1643589744,2900,1997
CK Hutchison Holdings,HK,,HSI,Conglomerate,35771794872,35902564103,300000,0001
Galaxy Entertainment Group,HK,,HSI,Gaming,17903846154,6319230769,21200,0027
MTR Corporation,HK,,HSI,Transport,26080769231,7111538462,29866,0066
Geely Auto,HK,,HSI,Automotive,24792307692,51924358974,73000,0175
Alibaba Health,HK,,HSI,Healthcare,7046153846,4992307692,1394,0241
CITIC Limited,HK,,HSI,Conglomerate,44978205128,134615384615,193011,0267
BYD Electronics,HK,,HSI,Electronics,6788461538,25605128205,165000,0285
WH Group,HK,,HSI,Food,13734615385,27966666667,106000,0288
China Resources Beer,HK,,HSI,Beverages,9998717949,5419230769,24099,0291
Midea Group,HK,,HSI,Consumer Electronics,94793589744,66992307692,198570,0300
Orient Overseas (International),HK,,HSI,Shipping,12462820513,9701282051,11665,0316
Tingyi,HK,,HSI,Food,8311538462,11280769231,60720,0322
Sinopec Corp,HK,,HSI,Energy,87930769231,401282051282,351104,0386
Techtronic Industries,HK,,HSI,Industrials,30930769231,15226923077,48318,0669
Tencent Holdings,HK,,HSI,Technology,512820512821,111947435897,114848,0700
China Unicom,HK,,HSI,Telecom,26008974359,57079487179,237251,0762
PetroChina,HK,,HSI,Energy,288461538462,415384615385,367173,0857
Xinyi Glass,HK,,HSI,Materials,5121794872,2971794872,16057,0868
Zhongsheng Group,HK,,HSI,Auto Retail,1305128205,23455128205,30287,0881
CNOOC,HK,,HSI,Energy,152564102564,59375641026,22045,0883
China Mobile,HK,,HSI,Telecom,229487179487,153846153846,461345,0941
Xinyi Solar,HK,,HSI,Renewable Energy,2579487179,2975641026,7712,0968
Semiconductor Manufacturing International,HK,,HSI,Semiconductors,109387179487,,19952,0981
Lenovo,HK,,HSI,Technology,39153846154,83501282051,73500,0992
Kuaishou,HK,,HSI,Technology,23685897436,20967948718,24202,1024
Hengan International,HK,,HSI,Consumer Goods,3498717949,3291025641,23000,1044
China Shenhua Energy,HK,,HSI,Energy,142307692308,43094871795,91392,1088
CSPC Pharmaceutical Group,HK,,HSI,Pharma,12267948718,3710256410,19700,1093
Sinopharm Group,HK,,HSI,Pharma,6773076923,83687179487,94910,1099
Sino Biopharmaceutical,HK,,HSI,Pharma,12212820513,4542307692,21435,1177
BYD Company,HK,,HSI,Automotive,114903846154,114224358974,869600,1211
China Hongqiao Group,HK,,HSI,Materials,30138461538,23162820513,51234,1378
Xiaomi,HK,,HSI,Technology,89556410256,64867948718,55994,1810
Budweiser Brewing Company APAC,HK,,HSI,Beverages,11150000000,5825641026,21000,1876
Sands China,HK,,HSI,Gaming,13696153846,7426923077,27875,1928
Chow Tai Fook Jewellery,HK,,HSI,Retail,15821794872,12102564103,24700,1929
Li Auto,HK,,HSI,Automotive,12028205128,15938461538,30728,2015
Anta Sports,HK,,HSI,Apparel,27214102564,11444871795,69100,2020
ZTO Express,HK,,HSI,Logistics,18379487179,7503846154,23399,2057
WuXi Biologics,HK,,HSI,Pharma,20644871795,3108974359,13252,2269
Shenzhou International,HK,,HSI,Apparel,8146153846,4421794872,108680,2313
Mengniu Dairy,HK,,HSI,Food,9092307692,11733333333,38301,2319
Li-Ning,HK,,HSI,Apparel,4887179487,4223076923,5152,2331
WuXi AppTec,HK,,HSI,Pharma,56225641026,6733333333,33834,2359
Sunny Optical Technology,HK,,HSI,Electronics,8193589744,6167948718,34393,2382
JD Logistics,HK,,HSI,Logistics,11114102564,33628205128,682705,2618
Zijin Mining,HK,,HSI,Mining,125941025641,53721794872,66708,2899
Meituan,HK,,HSI,Technology,69093589744,53873076923,111298,3690
Hansoh Pharmaceutical Group,HK,,HSI,Pharma,25324358974,2143589744,9347,3692
JD Health,HK,,HSI,Healthcare,15334615385,10478205128,5263,6618
Haier Smart Home,HK,,HSI,Consumer Electronics,28383333333,43267948718,134995,6690
Haidilao,HK,,HSI,Restaurants,8146153846,6166666667,125620,6862
JD.com,HK,,HSI,E-commerce,40928205128,192307692308,900000,9618
Nongfu Spring,HK,,HSI,Beverages,61855128205,7497435897,28000,9633
Baidu,HK,,HSI,Technology,36773076923,18755128205,33500,9888
Trip.com Group,HK,,HSI,Travel,26951282051,9441025641,43574,9961
Alibaba Group,HK,,HSI,E-commerce,266666666667,148717948718,131462,9988
Pop Mart,HK,,HSI,Retail,27237179487,5296153846,10434,9992
NetEase,HK,,HSI,Technology,78389743590,16669230769,25382,9999
Aspirasi Hidup Indonesia,ID,,LQ45,Retail,387974684,546835443,13976,ACES.JK
Adaro Minerals Indonesia,ID,,LQ45,Mining,4062658228,972950000,622,ADMR.JK
Alamtri Resources Indonesia,ID,,LQ45,Mining,4703164557,2105696203,10488,ADRO.JK
AKR Corporindo,ID,,LQ45,Energy Distribution,1860759494,2912658228,2138,AKRA.JK
Amman Mineral Internasional,ID,,LQ45,Mining,19340506329,1850000000,2149,AMMN.JK
Sumber Alfaria Trijaya,ID,,LQ45,Retail,3679746835,8021518987,99053,AMRT.JK
Aneka Tambang,ID,,LQ45,Mining,4685443038,5356962025,3829,ANTM.JK
Bank Jago,ID,,LQ45,Banks,1167088608,129746835,621,ARTO.JK
Astra International,ID,,LQ45,Conglomerate,13058860759,20467721519,133092,ASII.JK
Bank Central Asia,ID,,LQ45,Banks,50550632911,6834810127,27682,BBCA.JK
Bank Negara Indonesia,ID,,LQ45,Banks,8488607595,3152531646,27651,BBNI.JK
Bank Rakyat Indonesia,ID,,LQ45,Banks,28781012658,9206962025,82203,BBRI.JK
Bank Tabungan Negara,ID,,LQ45,Banks,1118987342,1020886076,12903,BBTN.JK
Bank Mandiri,ID,,LQ45,Banks,25848101266,9165822785,38777,BMRI.JK
Bank Syariah Indonesia,ID,,LQ45,Banks,5547468354,1500632911,16323,BRIS.JK
Barito Pacific,ID,,LQ45,Petrochemicals,10853797468,7630000000,5268,BRPT.JK
Charoen Pokphand Indonesia,ID,,LQ45,Food Products,3435443038,4474683544,9624,CPIN.JK
Ciputra Development,ID,,LQ45,Real Estate,686075949,798734177,4005,CTRA.JK
ESSA Industries Indonesia,ID,,LQ45,Chemicals,703164557,343670886,484,ESSA.JK
XL Axiata,ID,,LQ45,Telecom,2925949367,2889873418,2891,EXCL.JK
GoTo Gojek Tokopedia,ID,,LQ45,Technology,3355696203,1159493671,3505,GOTO.JK
Indofood CBP Sukses Makmur,ID,,LQ45,Food Products,5222151899,4834177215,37111,ICBP.JK
Vale Indonesia,ID,,LQ45,Mining,3335443038,1112025316,2934,INCO.JK
Indofood Sukses Makmur,ID,,LQ45,Food Products,3848101266,7963924051,98075,INDF.JK
Indah Kiat Pulp & Paper,ID,,LQ45,Forestry & Paper,2726582278,3438607595,12500,INKP.JK
Indosat,ID,,LQ45,Telecom,3929113924,3577215190,4182,ISAT.JK
Indo Tambangraya Megah,ID,,LQ45,Mining,1721518987,1880000000,1631,ITMG.JK
Japfa Comfeed Indonesia,ID,,LQ45,Food Products,1531012658,3843037975,31683,JPFA.JK
Jasa Marga,ID,,LQ45,Transport Infrastructure,1249367089,1891772152,7490,JSMR.JK
Kalbe Farma,ID,,LQ45,Healthcare,2076582278,2235443038,12895,KLBF.JK
MAP Aktif Adiperkasa,ID,,LQ45,Retail,1091139241,1220253165,15940,MAPA.JK
Mitra Adiperkasa,ID,,LQ45,Retail,1591772152,2726582278,34018,MAPI.JK
Merdeka Battery Materials,ID,,LQ45,Mining,3656962025,1430000000,3916,MBMA.JK
Merdeka Copper Gold,ID,,LQ45,Mining,4296202532,1890000000,10799,MDKA.JK
Medco Energi Internasional,ID,,LQ45,Energy,2062025316,2340000000,3410,MEDC.JK
Perusahaan Gas Negara,ID,,LQ45,Energy,2377848101,3980000000,3319,PGAS.JK
Pertamina Geothermal Energy,ID,,LQ45,Utilities,2731645570,480379747,583,PGEO.JK
Bukit Asam,ID,,LQ45,Mining,1770886076,2699367089,1672,PTBA.JK
Sido Muncul,ID,,LQ45,Healthcare,696835443,258227848,3558,SIDO.JK
Semen Indonesia,ID,,LQ45,Construction Materials,645569620,2230379747,8764,SMGR.JK
Summarecon Agung,ID,,LQ45,Real Estate,353164557,555063291,2712,SMRA.JK
Telkom Indonesia,ID,,LQ45,Telecom,16582278481,9287341772,18539,TLKM.JK
Sarana Menara Nusantara,ID,,LQ45,Telecom Infrastructure,1522784810,843670886,2148,TOWR.JK
United Tractors,ID,,LQ45,Industrials,5777215190,8310126582,38396,UNTR.JK
Unilever Indonesia,ID,,LQ45,Consumer Staples,4098734177,2021518987,2816,UNVR.JK
AIB Group,IE,,ISEQ20,Banks,24602400000,4687200000,10207,A5G.IR
Bank of Ireland,IE,,ISEQ20,Banks,18727200000,4266000000,11287,BIRG.IR
Cairn Homes,IE,,ISEQ20,Homebuilding,1674000000,1020178800,581,C5H.IR
Donegal Investment Group,IE,,ISEQ20,Food Products,20174400,,52,DQ7A.IR
FBD Holdings,IE,,ISEQ20,Insurance,679341600,548240400,1045,EG7.IR
Glanbia,IE,,ISEQ20,Food Products,5810400000,3628800000,4963,GL9.IR
Glenveagh Properties,IE,,ISEQ20,Homebuilding,1317600000,999950400,613,GVR.IR
Greencoat Renewables,IE,,ISEQ20,Utilities,888634800,106056000,,GRP.IR
Hammerson,IE,,ISEQ20,Real Estate,2489200000,335661000,124,HMSO.L
Irish Continental Group,IE,,ISEQ20,Transport,1048334400,720036000,289,IR5B.IR
Irish Residential Properties REIT,IE,,ISEQ20,Real Estate,640029600,92307600,97,IRES.IR
Kenmare Resources,IE,,ISEQ20,Mining,214172800,244130000,1740,KMR.L
Kerry Group,IE,,ISEQ20,Food Products,14094000000,7300800000,19420,KRZ.IR
Kingspan Group,IE,,ISEQ20,Building Materials,14817600000,9936000000,27601,KRX.IR
Malin Corporation,IE,,ISEQ20,Healthcare,33242400,,2,MLC.IR
Mincon Group,IE,,ISEQ20,Industrials,162745200,160617600,510,MIO.IR
Origin Enterprises,IE,,ISEQ20,Agribusiness,511002000,2300400000,2997,OIZ.IR
Permanent TSB,IE,,ISEQ20,Banks,1782000000,749520000,3223,PTSB.IR
Ryanair Holdings,IE,,ISEQ20,Airlines,27583200000,16837200000,27081,RYA.IR
Uniphar,IE,,ISEQ20,Healthcare,1252800000,3315600000,3500,UPR.IR
First International Bank of Israel,IL,,TA35,Banks,6278378378,1856756757,3461,FIBI
Israel Discount Bank,IL,,TA35,Banks,10532432432,3408108108,6849,DSCT
Bank Leumi,IL,,TA35,Banks,28329729730,6000000000,7514,LUMI
Mizrahi-Tefahot Bank,IL,,TA35,Banks,15913513514,3883783784,7230,MZTF
Bank Hapoalim,IL,,TA35,Banks,25602702703,6297297297,8409,POLI
Phoenix Holdings,IL,,TA35,Insurance,12151351351,5259459459,5172,PHOE
Harel Insurance,IL,,TA35,Insurance,9989189189,5654054054,5000,HARL
Clal Insurance Holdings,IL,,TA35,Insurance,5302702703,4700000000,3610,CLIS
Migdal Insurance,IL,,TA35,Insurance,5089189189,3402702703,4435,MGDL
Menora Mivtachim,IL,,TA35,Insurance,8310810811,2829729730,3805,MMHD
AMOT Investments,IL,,TA35,Real Estate,2508108108,327027027,198,AMOT
BIG Shopping Centers,IL,,TA35,Real Estate,4732432432,840540541,105,BIG
Dimri Construction,IL,,TA35,Real Estate,2256756757,467567568,330,DIMRI
Mivne Real Estate,IL,,TA35,Real Estate,2586486486,356756757,201,MVNE
Melisron,IL,,TA35,Real Estate,5310810811,645945946,332,MLSR
Azrieli Group,IL,,TA35,Real Estate,13770270270,1102702703,449,AZRG
Delek Group,IL,,TA35,Oil & Gas,4040540541,1059459459,798,DLEKG
Navitas Petroleum,IL,,TA35,Oil & Gas,4210810811,500000000,59,NVPT
NewMed Energy,IL,,TA35,Oil & Gas,5354054054,,24,NWMD
OPC Energy,IL,,TA35,Energy,8372972973,927027027,149,OPCE
Ormat Technologies,IL,,TA35,Energy,6320000000,,,ORA
Enlight Renewable Energy,IL,,TA35,Energy,10632432432,456756757,406,ENLT
Tower Semiconductor,IL,,TA35,Semiconductors,29420000000,1620000000,5613,TSEM
Nova,IL,,TA35,Semiconductors,14370000000,902530000,1612,NVMI
NICE,IL,,TA35,Technology,5240000000,3010000000,9626,NICE
Camtek,IL,,TA35,Semiconductors,7180000000,499090000,709,CAMT
ICL Group,IL,,TA35,Chemicals,6850000000,7410000000,13007,ICL
Elbit Systems,IL,,TA35,Defense,37700000000,8230000000,20537,ESLT
NextVision Stabilized Systems,IL,,TA35,Defense,6029729730,,126,NXSN
Bezeq,IL,,TA35,Telecom,5559459459,2335135135,5286,BEZQ
Teva Pharmaceutical Industries,IL,,TA35,Pharma,29008000000,,32842,TEVA
Fattal Holdings,IL,,TA35,Hotels,3027027027,2048648649,5946,FTAL
Shufersal,IL,,TA35,Retail,3359459459,3959459459,14500,SAE
Strauss Group,IL,,TA35,Food,3654054054,2140540541,16074,STRS
Shapir Engineering,IL,,TA35,Construction,4505405405,1691891892,3918,SPEN
Adani Enterprises,IN,,Nifty50,Metals & Mining,49156626506,12048192771,10463,ADANIENT.NS
Adani Ports & SEZ,IN,,Nifty50,Services,50481927711,4666987952,3372,ADANIPORTS.NS
Apollo Hospitals,IN,,Nifty50,Healthcare,15542168675,3039638554,42497,APOLLOHOSP.NS
Asian Paints,IN,,Nifty50,Consumer Durables,30843373494,4287228916,11162,ASIANPAINT.NS
Axis Bank,IN,,Nifty50,Financial Services,45783132530,9286867470,101337,AXISBANK.NS
Bajaj Auto,IN,,Nifty50,Automobile and Auto Components,37951807229,7665903614,5231,BAJAJ-AUTO.NS
Bajaj Finance,IN,,Nifty50,Financial Services,77951807229,5293975904,71613,BAJFINANCE.NS
Bajaj Finserv,IN,,Nifty50,Financial Services,36144578313,18072289157,113732,BAJAJFINSV.NS
Bharat Electronics,IN,,Nifty50,Capital Goods,35783132530,3326506024,11199,BEL.NS
Bharti Airtel,IN,,Nifty50,Telecommunication,141686746988,25421686747,13336,BHARTIARTL.NS
Cipla,IN,,Nifty50,Healthcare,13734939759,3352771084,31369,CIPLA.NS
Coal India,IN,,Nifty50,"Oil, Gas & Consumable Fuels",31807228916,20240963855,220272,COALINDIA.NS
Dr. Reddy's Laboratories,IN,,Nifty50,Healthcare,11868674699,4047349398,27527,DRREDDY.NS
Eicher Motors,IN,,Nifty50,Automobile and Auto Components,25542168675,2820240964,5178,EICHERMOT.NS
Eternal,IN,,Nifty50,Consumer Services,31807228916,6549879518,16375,ETERNAL.NS
Grasim Industries,IN,,Nifty50,Construction Materials,25903614458,21084337349,27327,GRASIM.NS
HCLTech,IN,,Nifty50,Information Technology,40602409639,16867469880,168977,HCLTECH.NS
HDFC Bank,IN,,Nifty50,Financial Services,138674698795,35542168675,211178,HDFCBANK.NS
HDFC Life,IN,,Nifty50,Financial Services,14457831325,12530120482,38291,HDFCLIFE.NS
Hindalco Industries,IN,,Nifty50,Metals & Mining,25421686747,33132530120,85107,HINDALCO.NS
Hindustan Unilever,IN,,Nifty50,Fast Moving Consumer Goods,60963855422,7767228916,17477,HINDUNILVR.NS
ICICI Bank,IN,,Nifty50,Financial Services,123975903614,23855421687,182665,ICICIBANK.NS
IndiGo,IN,,Nifty50,Services,23855421687,10236385542,41049,INDIGO.NS
Infosys,IN,,Nifty50,Information Technology,51325301205,20160000000,328594,INFY.NS
ITC,IN,,Nifty50,Fast Moving Consumer Goods,42409638554,9502168675,22493,ITC.NS
Jio Financial Services,IN,,Nifty50,Financial Services,18554216867,325542169,,JIOFIN.NS
JSW Steel,IN,,Nifty50,Metals & Mining,36626506024,22289156627,16083,JSWSTEEL.NS
Kotak Mahindra Bank,IN,,Nifty50,Financial Services,45662650602,8589879518,112000,KOTAKBANK.NS
Larsen & Toubro,IN,,Nifty50,Construction,63253012048,35180722892,55662,LT.NS
Mahindra & Mahindra,IN,,Nifty50,Automobile and Auto Components,42771084337,24337349398,26765,M&M.NS
Maruti Suzuki,IN,,Nifty50,Automobile and Auto Components,51325301205,22048192771,19966,MARUTI.NS
Max Healthcare,IN,,Nifty50,Healthcare,12650602410,1008795181,15114,MAXHEALTH.NS
Nestlé India,IN,,Nifty50,Fast Moving Consumer Goods,34698795181,2939156627,8356,NESTLEIND.NS
NTPC,IN,,Nifty50,Power,40722891566,22530120482,16646,NTPC.NS
Oil and Natural Gas Corporation,IN,,Nifty50,"Oil, Gas & Consumable Fuels",38192771084,79759036145,24378,ONGC.NS
